rep16_frac2,dem16_frac2,dem08_frac2,dem12_frac2,rep08_frac2,rep12_frac2,LessThanHighSchool,AtLeastHighSchoolDiploma,AtLeastBachelorsDegree,MedianEarnings2010dollars,PovertyRatebelowfederalpovertythreshold,Managementprofessionalandrelatedoccupations,Serviceoccupations,Salesandofficeoccupations,Farmingfishingandforestryoccupations,Constructionextractionmaintenanceandrepairoccupations,Productiontransportationandmaterialmovingoccupations,Uninsured,Unemployment
0.568258394,0.431741606,0.432957717,0.462318994,0.567042283,0.537681006,25.2,74.8,11,22321.77111,23.5,21.5,16.85,26.55,2.1,9.6,23.45,0.164,0.109
0.847509775,0.152490225,0.206579954,0.20625694,0.793420046,0.793743061,23.5,76.5,13.1,21645.97937,18.55,24.8,14.65,24,2.65,14.15,19.75,0.177,0.075
0.730644639,0.269355361,0.309733099,0.321266259,0.690266901,0.678733741,26.3,73.7,10.1,22051.82699,19.8,27.15,15.55,22.1,3.4,11.85,19.95,0.192,0.072
0.172997523,0.827002477,0.834216503,0.849014085,0.165783497,0.150985916,27.4,72.6,9.9,20350.60191,31,22.1,17.1,20.4,2.2,12.1,26.2,0.177,0.114
0.757882017,0.242117983,0.275109626,0.287376318,0.724890374,0.712623682,17.8,82.2,17.5,25547.52032,14.5,26.7,17.4,23.4,0.7,16.05,15.65,0.156,0.073
0.568853141,0.431146859,0.462654282,0.476946334,0.537345718,0.523053666,28.9,71.1,10.9,22625.57683,20.75,29.05,12.2,20.3,2.55,17.7,18.1,0.176,0.09
0.57518797,0.42481203,0.457352348,0.47396013,0.542647652,0.52603987,28.2,71.8,10.8,23437.68032,18.15,22.4,14.35,26.15,0.4,12.55,24.15,0.179,0.093
0.588251975,0.411748025,0.424385433,0.405594543,0.575614567,0.594405457,12.2,87.8,37.4,30273.56381,11.65,43.85,14,23.9,0.2,7.2,10.9,0.15,0.062
0.843660696,0.156339304,0.263662853,0.232451787,0.736337147,0.767548213,24.5,75.5,9.7,24595.03683,17.75,23.9,16.15,23.6,0.5,18.05,17.8,0.168,0.075
0.572463049,0.427536951,0.448660714,0.461191929,0.551339286,0.538808071,24.6,75.4,11.2,23987.55651,25.2,25.4,12.5,22.8,1.55,10.65,27.1,0.184,0.123
0.600412854,0.399587146,0.419380826,0.411949201,0.580619174,0.5880508,15.3,84.7,26.2,23901.16508,20.1,32.45,16.75,24.75,0.3,10.95,14.85,0.149,0.066
0.490232608,0.509767392,0.536721661,0.55916498,0.46327834,0.44083502,23.1,76.9,11.9,22917.64064,22.55,21.9,19.7,28.85,1,12,16.6,0.177,0.091
0.770701913,0.229298088,0.299247973,0.298776937,0.700752027,0.701223064,28.4,71.6,12.2,21767.3581,20.7,22,14.05,22.15,1.9,10.55,29.4,0.187,0.089
0.268465366,0.731534635,0.72636897,0.752057952,0.27363103,0.247942048,28.5,71.5,13.3,17184.70381,26.3,22.65,26.5,20.1,2.6,6.85,21.3,0.196,0.129
